customer_id,age,gender,tenure_months,monthly_usage_hours,support_calls,payment_delay_days,subscription_type,contract_length_months,total_spend,churn,last_interaction_date
350907.0,20.0,Female,13.0,25.0,2.0,14.0,Standard,3.0,916.42,0.0,2023-12-20
337042.0,48.0,Male,25.0,2.0,1.0,17.0,Standard,3.0,951.33,0.0,2023-12-19
338828.0,31.0,Female,27.0,3.0,3.0,6.0,Basic,3.0,593.74,0.0,2023-12-19
53875.0,30.0,Female,25.0,11.0,2.0,18.0,Premium,1.0,361.0,1.0,2023-12-17
311877.0,27.0,Male,54.0,21.0,0.0,20.0,Standard,3.0,775.43,0.0,2023-12-03
243560.0,35.0,Male,32.0,16.0,5.0,20.0,Premium,12.0,292.66,1.0,2023-12-05
442128.0,48.0,Male,41.0,7.0,2.0,9.0,Premium,3.0,588.03,0.0,2023-12-11
288563.0,36.0,Male,38.0,23.0,1.0,12.0,Basic,12.0,708.3,0.0,2023-12-11
393860.0,25.0,Female,9.0,11.0,2.0,5.0,Basic,12.0,605.98,0.0,2023-12-21
61284.0,29.0,Female,39.0,9.0,2.0,16.0,Basic,1.0,525.0,1.0,2023-12-21
347896.0,48.0,Female,36.0,15.0,2.0,5.0,Premium,12.0,818.14,0.0,2023-12-22
425198.0,18.0,Female,23.0,26.0,0.0,2.0,Basic,3.0,716.38,0.0,2023-12-22
183195.0,23.0,Male,60.0,23.0,4.0,14.0,Standard,3.0,225.0,1.0,2023-12-05
370828.0,34.0,Male,3.0,11.0,1.0,3.0,Premium,12.0,988.71,0.0,2023-12-14
14004.0,20.0,Female,24.0,5.0,3.0,21.0,Standard,1.0,305.0,1.0,2023-12-22
55167.0,56.0,Female,1.0,4.0,1.0,8.0,Basic,12.0,616.0,1.0,2023-12-13
198022.0,55.0,Female,2.0,6.0,2.0,26.0,Basic,12.0,354.0,1.0,2023-12-11
88834.0,31.0,Male,36.0,14.0,6.0,27.0,Premium,3.0,740.0,1.0,2023-12-12
169582.0,42.0,Male,41.0,28.0,2.0,12.0,Standard,12.0,570.0,0.0,2023-12-03
164675.0,20.0,Female,31.0,5.0,0.0,18.0,Premium,1.0,926.0,1.0,2023-12-03
208758.0,58.0,Male,10.0,29.0,10.0,1.0,Basic,12.0,682.62,1.0,2023-12-29
95488.0,31.0,Female,42.0,15.0,10.0,6.0,Premium,12.0,128.0,1.0,2023-12-28
312355.0,42.0,Male,1.0,13.0,4.0,16.0,Premium,3.0,812.42,0.0,2023-12-29
383709.0,33.0,Male,1.0,20.0,1.0,14.0,Standard,3.0,851.2,0.0,2023-12-02
327415.0,21.0,Male,29.0,1.0,0.0,19.0,Basic,3.0,824.17,0.0,2023-12-19
137379.0,46.0,Female,58.0,20.0,9.0,26.0,Premium,12.0,104.0,1.0,2023-12-30
322257.0,28.0,Male,14.0,28.0,2.0,10.0,Standard,12.0,514.55,0.0,2023-12-06
234443.0,51.0,Female,12.0,27.0,1.0,3.0,Standard,3.0,672.47,1.0,2023-12-03
46016.0,36.0,Female,44.0,24.0,10.0,3.0,Basic,3.0,436.0,1.0,2023-12-21
356858.0,32.0,Male,57.0,30.0,3.0,1.0,Premium,3.0,595.08,0.0,2023-12-25
143574.0,23.0,Female,31.0,3.0,0.0,12.0,Premium,12.0,361.0,1.0,2023-12-09
208714.0,48.0,Female,25.0,20.0,4.0,8.0,Standard,1.0,595.15,1.0,2023-12-31
153119.0,36.0,Male,12.0,8.0,5.0,22.0,Premium,12.0,126.0,1.0,2023-12-20
222151.0,50.0,Female,11.0,5.0,7.0,26.0,Basic,1.0,504.88,1.0,2023-12-02
302832.0,46.0,Female,4.0,1.0,0.0,6.0,Standard,3.0,953.24,0.0,2023-12-20
70309.0,49.0,Female,19.0,9.0,2.0,29.0,Premium,12.0,715.0,1.0,2023-12-24
65047.0,56.0,Male,14.0,5.0,8.0,4.0,Standard,1.0,872.0,1.0,2023-12-16
